group,supplemental_indices,experiment_type,target_info,pegRNAs
PAH-1696+1697_46_22_epegRNA,,twin_prime,PAH-1696+1697,PAH_E7.2_34_EvoPreQ1;PAH_E7.5_34_EvoPreQ1
PAH-1696+1697_46_22_std,,twin_prime,PAH-1696+1697,PAH_E7.2_34;PAH_E7.5_34
PAH-1696+1697_46_42_epegRNA,,twin_prime,PAH-1696+1697,PAH_E7.2_44_EvoPreQ1;PAH_E7.5_44_EvoPreQ1
PAH-1696+1697_46_42_std,,twin_prime,PAH-1696+1697,PAH_E7.2_44;PAH_E7.5_44
PAH-1696+1697_64_24_epegRNA,,twin_prime,PAH-1696+1697,PAH_E7.2_44_EvoPreQ1;PAH_E7.6_44_EvoPreQ1
PAH-1696+1697_64_24_std,,twin_prime,PAH-1696+1697,PAH_E7.2_44;PAH_E7.6_44
PAH-1696+1697_64_47_epegRNA,,twin_prime,PAH-1696+1697,PAH_E7.2_55_EvoPreQ1;PAH_E7.6_56_EvoPreQ1
PAH-1696+1697_64_47_std,,twin_prime,PAH-1696+1697,PAH_E7.2_55;PAH_E7.6_56
PAH-E4fe+1687_64_24_epegRNA,,twin_prime,PAH-E4fe+1687,PAH_E4.2_45_EvoPreQ1;PAH_E4.4_43_EvoPreQ1
PAH-E4fe+1687_64_24_std,,twin_prime,PAH-E4fe+1687,PAH_E4.2_45;PAH_E4.4_43
PAH-E4fe+1687_64_36_epegRNA,,twin_prime,PAH-E4fe+1687,PAH_E4.2_50_EvoPreQ1;PAH_E4.4_50_EvoPreQ1
PAH-E4fe+1687_64_36_std,,twin_prime,PAH-E4fe+1687,PAH_E4.2_50;PAH_E4.4_50
PAH-E4fe+1687_64_59_epegRNA,,twin_prime,PAH-E4fe+1687,PAH_E4.2_62_EvoPreQ1;PAH_E4.4_61_EvoPreQ1
PAH-E4fe+1687_64_59_std,,twin_prime,PAH-E4fe+1687,PAH_E4.2_62;PAH_E4.4_61
